iter	Passed	Remaining
1317	21056	298462
1318	21073	298457
1319	21089	298454
1320	21107	298456
1321	21123	298438
1322	21138	298415
1323	21154	298397
1324	21170	298384
1325	21186	298362
1326	21201	298336
1327	21217	298317
1328	21233	298304
1329	21249	298294
1330	21265	298277
1331	21281	298256
1332	21296	298231
1333	21312	298213
1334	21328	298195
1335	21344	298177
1336	21359	298153
1337	21375	298139
1338	21391	298129
1339	21407	298110
1340	21423	298094
1341	21439	298080
1342	21456	298069
1343	21471	298046
1344	21487	298029
1345	21503	298011
1346	21519	298001
1347	21536	297999
1348	21553	297996
1349	21569	297974
1350	21584	297949
1351	21600	297930
1352	21616	297922
1353	21632	297898
1354	21648	297879
1355	21664	297870
1356	21681	297862
1357	21697	297857
1358	21714	297844
1359	21729	297821
1360	21745	297809
1361	21761	297794
1362	21779	297806
1363	21795	297791
1364	21811	297775
1365	21827	297760
1366	21845	297765
1367	21861	297751
1368	21876	297728
1369	21893	297714
1370	21908	297696
1371	21926	297701
1372	21942	297683
1373	21957	297657
1374	21973	297638
1375	21990	297633
1376	22006	297622
1377	22022	297607
1378	22037	297582
1379	22055	297589
1380	22071	297570
1381	22087	297555
1382	22103	297546
1383	22119	297531
1384	22135	297510
1385	22151	297489
1386	22166	297466
1387	22184	297479
1388	22201	297470
1389	22217	297452
1390	22233	297436
1391	22248	297418
1392	22265	297410
1393	22281	297390
1394	22296	297368
1395	22312	297345
1396	22327	297325
1397	22343	297303
1398	22359	297285
1399	22374	297267
1400	22391	297257
1401	22407	297242
1402	22423	297225
1403	22438	297197
1404	22454	297181
1405	22470	297163
1406	22486	297149
1407	22502	297130
1408	22522	297174
1409	22539	297166
1410	22555	297148
1411	22572	297146
1412	22588	297133
1413	22604	297122
1414	22621	297114
1415	22637	297106
1416	22654	297092
1417	22670	297077
1418	22686	297070
1419	22702	297053
1420	22718	297030
1421	22733	297005
1422	22750	296997
1423	22766	296984
1424	22781	296959
1425	22797	296942
1426	22813	296930
1427	22829	296907
1428	22845	296898
1429	22862	296892
1430	22877	296869
1431	22893	296848
1432	22909	296834
1433	22925	296814
1434	22941	296803
1435	22958	296795
1436	22974	296778
1437	22990	296764
1438	23006	296744
1439	23021	296723
1440	23037	296708
1441	23054	296700
1442	23071	296696
1443	23087	296687
1444	23103	296662
1445	23118	296645
1446	23134	296622
1447	23150	296605
1448	23166	296591
1449	23182	296570
1450	23197	296552
1451	23213	296527
1452	23229	296517
1453	23245	296502
1454	23263	296505
1455	23281	296516
1456	23297	296503
1457	23312	296479
1458	23328	296458
1459	23344	296442
1460	23359	296420
1461	23376	296415
1462	23392	296394
1463	23408	296378
1464	23424	296363
1465	23441	296354
1466	23457	296345
1467	23473	296323
1468	23488	296306
1469	23505	296295
1470	23520	296273
1471	23536	296249
1472	23551	296229
1473	23567	296204
1474	23583	296187
1475	23599	296175
1476	23614	296153
1477	23630	296136
1478	23646	296119
1479	23662	296099
1480	23678	296086
1481	23694	296070
1482	23710	296048
1483	23726	296040
1484	23743	296030
1485	23758	296005
1486	23773	295980
1487	23789	295958
1488	23805	295942
1489	23821	295925
1490	23836	295907
1491	23853	295892
1492	23868	295869
1493	23884	295854
1494	23901	295852
1495	23922	295893
1496	23942	295934
1497	23961	295952
1498	23980	295970
1499	23997	295969
1500	24014	295959
1501	24030	295943
1502	24045	295924
1503	24061	295904
1504	24076	295882
1505	24093	295872
1506	24109	295856
1507	24125	295841
1508	24141	295820
1509	24156	295799
1510	24172	295784
1511	24189	295777
1512	24205	295763
1513	24221	295742
1514	24238	295745
1515	24256	295744
1516	24275	295766
1517	24291	295757
1518	24308	295752
1519	24325	295748
1520	24340	295720
1521	24356	295703
1522	24371	295674
1523	24387	295659
1524	24403	295637
1525	24418	295617
1526	24434	295596
1527	24449	295576
1528	24465	295558
1529	24481	295537
1530	24497	295526
1531	24513	295511
1532	24529	295495
1533	24545	295472
1534	24560	295448
1535	24577	295438
1536	24592	295414
1537	24608	295395
1538	24624	295381
1539	24640	295367
1540	24656	295355
1541	24673	295343
1542	24689	295325
1543	24704	295305
1544	24719	295277
1545	24735	295257
1546	24751	295247
1547	24767	295223
1548	24783	295210
1549	24800	295200
1550	24815	295181
1551	24832	295169
1552	24847	295151
1553	24863	295134
1554	24880	295122
1555	24896	295106
1556	24910	295074
1557	24925	295047
1558	24941	295029
1559	24957	295013
1560	24974	295002
1561	24990	294985
1562	25006	294973
1563	25022	294958
1564	25038	294937
1565	25054	294921
1566	25071	294918
1567	25089	294925
1568	25105	294913
1569	25122	294913
1570	25138	294898
1571	25154	294876
1572	25169	294852
1573	25185	294832
1574	25203	294842
1575	25219	294823
1576	25236	294817
1577	25253	294813
1578	25270	294815
1579	25287	294807
1580	25304	294805
1581	25320	294785
1582	25336	294771
1583	25352	294751
1584	25368	294738
1585	25384	294725
1586	25401	294719
1587	25417	294698
1588	25435	294705
1589	25450	294684
1590	25466	294670
1591	25483	294662
1592	25500	294657
1593	25516	294641
1594	25532	294626
1595	25548	294607
1596	25564	294588
1597	25580	294574
1598	25596	294554
1599	25611	294531
1600	25627	294514
1601	25643	294497
1602	25658	294478
1603	25675	294465
1604	25691	294452
1605	25707	294431
1606	25722	294406
1607	25737	294382
1608	25753	294360
1609	25769	294352
1610	25786	294340
1611	25802	294324
1612	25817	294299
1613	25833	294288
1614	25850	294279
1615	25866	294266
1616	25883	294262
1617	25900	294252
1618	25917	294248
1619	25933	294233
1620	25949	294221
1621	25966	294208
1622	25982	294192
1623	25998	294182
1624	26014	294161
1625	26031	294153
1626	26047	294142
1627	26063	294125
1628	26079	294113
1629	26095	294098
1630	26113	294097
1631	26128	294078
1632	26145	294072
1633	26162	294065
1634	26179	294055
1635	26195	294037
1636	26210	294019
1637	26227	294011
1638	26242	293987
1639	26259	293978
1640	26275	293958
1641	26292	293951
1642	26308	293935
1643	26324	293919
1644	26340	293904
1645	26355	293883
1646	26371	293867
1647	26388	293860
1648	26404	293841
1649	26419	293815
1650	26435	293795
1651	26451	293779
1652	26466	293752
1653	26481	293730
1654	26497	293713
1655	26512	293691
1656	26529	293676
1657	26545	293660
1658	26560	293643
1659	26576	293625
1660	26592	293606
1661	26608	293590
1662	26624	293572
1663	26640	293558
1664	26655	293533
1665	26671	293519
1666	26688	293504
1667	26703	293484
1668	26719	293470
